mlp_delta_threshold,arc_challenge,arc_easy,boolq,hellaswag,openbookqa,piqa,winogrande,Avg_Accuracy,Attn_Sparsity,MLP_Sparsity
20.0,0.5,0.79,0.74,0.5,0.29,0.75,0.77,0.62,0.0,0.0035163502222419407
40.0,0.36,0.68,0.74,0.37,0.22,0.69,0.49,0.5071428571428571,0.0,0.25059571549054793
60.0,0.18,0.27,0.59,0.21,0.14,0.56,0.5,0.35000000000000003,0.0,0.8544865999512864
80.0,0.19,0.22,0.3,0.21,0.13,0.51,0.46,0.2885714285714286,0.0,0.9354255529996098
100.0,0.19,0.22,0.3,0.23,0.13,0.5,0.51,0.29714285714285715,0.0,0.9600243307176061
